a,b,c
123.0,0.22285416534571204,0.02508099718393559
123.5,0.22253442978790658,0.02453873672518534
124.0,0.22222135369183324,0.024034520394208843
124.5,0.22191361634393078,0.02352824498939855
125.0,0.22161192039931416,0.023053402757919398
125.5,0.22131524362976124,0.022579764852945976
126.0,0.22102408454100345,0.022132393782818498
126.5,0.2207376474428382,0.02168847246428245
127.0,0.220456280517986,0.021266750563471125
127.5,0.22017936045922137,0.020849979725255305
128.0,0.21990712505312185,0.020452180068287775
128.5,0.21963908254407694,0.020060291339592487
129.0,0.21937538992553055,0.01968478913610991
129.5,0.21911565615412568,0.01931576615233616
130.0,0.21885997936284957,0.01896104096478595
130.5,0.21860804588467186,0.018613082410781998
131.0,0.21835991122505816,0.01827771710155677
131.5,0.21811532140023687,0.017949206585178946
132.0,0.2178743012862279,0.017631884122984404
132.5,0.21763664313856831,0.01732136540367748
133.0,0.21740235005603853,0.017020864332829354
133.5,0.21717125029467996,0.0167270207798488
134.0,0.21694333169112726,0.01644220991824339
134.5,0.21671845068437048,0.01616384733435356
135.0,0.2164965846299785,0.015893680095513976
135.5,0.2162776121640764,0.015629712239660393
136.0,0.21606150365575677,0.015373220849500316
136.5,0.21584815534107024,0.01512265714115353
137.0,0.21563753314429154,0.014878946931588796
137.5,0.2154295473585727,0.014640881932247688
138.0,0.2152241612998119,0.014409125830241343
138.5,0.21502129657772043,0.014182730184750941
139.0,0.21482091521539842,0.013962163469428588
139.5,0.21462294801079912,0.013746676055374963
140.0,0.21442735662593124,0.01353659142485373
140.5,0.21423407938588232,0.013331312509732811
141.0,0.2140430782413214,0.013131055476545915
141.5,0.21385429774219739,0.012935340721591061
142.0,0.21366770057113935,0.012744305340725343
142.5,0.2134832364757659,0.01255756052174391
143.0,0.21330086916349525,0.012375185444970816
143.5,0.2131205527648178,0.01219686178363029
144.0,0.2129422521959917,0.012022626627851335
144.5,0.21276592531967517,0.011852216646792695
145.0,0.21259153836646777,0.011685638659288648
145.5,0.21241905240800205,0.011522672489083095
146.0,0.2122484350392208,0.011363303491517561
146.5,0.2120796501167203,0.011207345569412103
147.0,0.21191266661071645,0.011054769160503235
147.5,0.2117474508164639,0.010905415271045295
148.0,0.2072669175478041,0.46890738515712965
148.5,0.1794006512961356,3.4355820357095856
149.0,0.15236689583965948,3.8969451270491757
149.5,0.12059132141172102,3.656401492441804
150.0,0.09749197989942951,3.891953274190462
150.5,0.07751587057668369,4.128878720811518
151.0,0.05942616073616305,3.9377037682190723
151.5,0.04255344459877978,4.232706803567752
152.0,0.027244214594700094,4.273424291952301
152.5,0.01280281979387081,4.364706906447755
153.0,-0.00022939541942219798,4.468037079250472
153.5,-0.01212105040583812,4.5695641617031555
154.0,-0.022949035674740693,4.671573504821051
154.5,-0.03270683377701843,4.771222503464642
155.0,-0.041432421349506,4.86731788380483
155.5,-0.049146203491872466,4.957555726225241
156.0,-0.05587653788378262,5.038928129696525
156.5,-0.06165038043196123,5.106846809104662
157.0,-0.06650003640681292,5.154466935023549
157.5,-0.07386523719133271,2.271903301904879
158.0,-0.07412361390382746,5.67377841703388
158.5,-0.05110159271009613,5.4500061615594735
159.0,-0.0347945409466271,5.409534800171868
159.5,-0.01913613722086793,4.941780229309165
160.0,-0.0037383703764338363,5.3524141376782115
160.5,0.013378609232235567,5.174134329200055
161.0,0.0302971112108652,4.778835759680726
161.5,0.04802367333932226,4.929483444559685
162.0,0.0669528556576928,4.824254689672336
162.5,0.08628599804612384,4.524476163827343
163.0,0.10687097545584336,4.5583530078673915
163.5,0.12679787236705442,4.20323144364607
164.0,0.14926363557344863,4.301310191061942
164.5,0.17200462192487692,4.2044664903994144
165.0,0.1945608207177831,3.8573958623016438
165.5,0.2195997031587713,3.9500773358104597
166.0,0.24444571510564947,3.8669152743054416
166.5,0.2689386469261121,3.5510043197844556
167.0,0.28116810758392413,2.3192716104514277
167.5,0.27337833768635866,0.4260191666549791
168.0,0.2670052739335211,0.37790380563842796
168.5,0.2556989970545223,0.26288563534692855
169.0,0.2513931712328506,0.19650795096437668
169.5,0.24831179823663446,0.1683708041431414
170.0,0.2460929471903537,0.13338242984923537
170.5,0.24384501101215936,0.12663746096584008
171.0,0.2420307902971762,0.1060390896417881
171.5,0.24018353450240432,0.10232048760375849
172.0,0.23864841083238847,0.08884557988229176
172.5,0.23710044594281277,0.08599347894304495
173.0,0.23578665549987116,0.07650194600071263
173.5,0.23447156953784,0.07397119565433295
174.0,0.23333480572598653,0.06692858143683358
174.5,0.23220353119215656,0.06460310638666898
175.0,0.2312096118994403,0.0591865654007248
175.5,0.23022527701690784,0.05772686039079815
176.0,0.2293478225168112,0.053387215355929864
176.5,0.22848233332738724,0.052096920910180165
177.0,0.22770080029781653,0.049957098948203674
177.5,0.22693246018369992,0.047986349351777986
178.0,0.22623067033063482,0.046826005939384484
